k,t_k,a_k,b_k,wall_thickness,wall_error,E_500(t_k),E_500(t_k+0.5),A_500,ratio_zeros_500,ratio_off_500,E_200(t_k),E_101(t_k)
1,14.134725141734695,2.2496113755523677,2.1577446492532135,0.09186672629915416,1.6653345369377348e-16,-2.7893215438958188,-0.6329936844380819,1.4800563607762935,-1.8846049500660988,-0.42768214860822934,-2.913148281024976,-2.5463409838883373
2,21.022039638771556,3.345761522384255,3.253894796085101,0.09186672629915416,1.6653345369377348e-16,-2.3613063191564523,-0.0959196537405404,1.4800563607762935,-1.59541648665186,-0.06480810885487515,-2.592544852722413,-2.167069789929595
3,25.01085758014569,3.9806016148475862,3.8887348885484325,0.09186672629915371,2.7755575615628914e-16,-2.243219991242822,0.1889345615953858,1.4800563607762935,-1.5156314655924636,0.12765362630939886,-1.7902546615925432,-1.7350179986397618
4,30.424876125859512,4.842269428389136,4.750402702089982,0.09186672629915371,2.7755575615628914e-16,-2.4165484548633906,-0.3161839741538606,1.4800563607762935,-1.6327408326503894,-0.21362968501282023,-1.9269051472223322,-1.9852088487749924
5,32.93506158773919,5.2417778527247,5.149911126425546,0.09186672629915371,2.7755575615628914e-16,-2.442274346732006,0.11155543972856205,1.4800563607762935,-1.6501225300981286,0.07537242681086206,-1.9288527151698005,-1.8911923899112177
6,37.586178158825675,5.98202604590974,5.890159319610587,0.09186672629915371,2.7755575615628914e-16,-2.0435722518720176,0.36792675583779655,1.4800563607762935,-1.3807394812993192,0.24858969265522968,-1.8029961728569848,-1.750499669487143
7,40.9187190121475,6.5124163957715915,6.420549669472438,0.09186672629915371,2.7755575615628914e-16,-2.210755671047335,-0.10037464990624294,1.4800563607762935,-1.4936969494106207,-0.06781812677295354,-1.9331276953370893,-2.028409049607347
8,43.327073280915,6.895717882362407,6.803851156063253,0.09186672629915371,2.7755575615628914e-16,-1.9468993978940143,0.6106349847979559,1.4800563607762935,-1.315422472744795,0.41257549440730495,-1.7305740180743268,-1.7339077492776895
9,48.00515088116716,7.640257056610009,7.5483903303108555,0.09186672629915371,2.7755575615628914e-16,-2.1082170896967227,-0.29847276986562243,1.4800563607762935,-1.4244167624744757,-0.2016631107946948,-1.789171437392519,-1.6269790518643905
10,49.7738324776723,7.921751475449467,7.829884749150313,0.09186672629915371,2.7755575615628914e-16,-2.4978916377043987,0.024666735685015068,1.4800563607762935,-1.6877003497314438,0.016666078629652522,-2.0050244502046914,-1.9316292976368854
11,52.970321477714464,8.430488500345048,8.338621774045894,0.09186672629915371,2.7755575615628914e-16,-1.601890482580588,0.3802565987411478,1.4800563607762935,-1.0823172177986466,0.2569203503451059,-1.3113352509730607,-1.2687130034134932
12,56.44624769706339,8.983699339977152,8.891832613677998,0.09186672629915371,2.7755575615628914e-16,-1.6634859536084825,0.23616815887128115,1.4800563607762935,-1.123934194462689,0.159567003750729,-1.5943930688965275,-1.4925912061619862
13,59.34704400260235,9.445375410906387,9.353508684607233,0.09186672629915371,2.7755575615628914e-16,-2.0909433403943507,-0.7836623934144109,1.4800563607762935,-1.4127457546938587,-0.5294814536680061,-1.9606432817290154,-1.974846431826863
14,60.83177852460981,9.681678249263056,9.589811522963902,0.09186672629915371,2.7755575615628914e-16,-1.8157743035578107,0.4604651434132111,1.4800563607762935,-1.2268278098581544,0.3111132492087638,-1.7245773060152219,-1.7562888021936482
15,65.1125440480816,10.362983242540956,10.271116516241802,0.09186672629915371,2.7755575615628914e-16,-1.6915556382385846,0.3650947665110476,1.4800563607762935,-1.142899475362789,0.24667625921998973,-1.5630043635533675,-1.3315275388092744
16,67.07981052949417,10.676083427436767,10.584216701137613,0.09186672629915371,2.7755575615628914e-16,-1.8428560923767687,0.16346403238907625,1.4800563607762935,-1.2451256190069584,0.11044446463061645,-1.6822495495315497,-1.5517749844913158
17,69.54640171117398,11.068653606587988,10.976786880288834,0.09186672629915371,2.7755575615628914e-16,-1.8138417902733686,0.6550199593072357,1.4800563607762935,-1.2255221073621843,0.44256420003065017,-1.4512555125759725,-1.4472193054888336
18,72.0671576744819,11.469844378476816,11.377977652177663,0.09186672629915371,2.7755575615628914e-16,-2.1866214001245194,-0.0070445643538736,1.4800563607762935,-1.4773906305687106,-0.004759659524167517,-1.9320063230842017,-1.791004141814669
19,75.70469069908393,12.048775740002242,11.956909013703088,0.09186672629915371,2.7755575615628914e-16,-1.9374136943723586,-0.44091272611435106,1.4800563607762935,-1.3090134576741252,-0.29790265951973016,-1.864802942768153,-1.7031131602077358
20,77.1448400688748,12.277982630995137,12.186115904695983,0.09186672629915371,2.7755575615628914e-16,-2.2469091659956266,-0.29232416866489386,1.4800563607762935,-1.5181240563143938,-0.19750880872642515,-2.1675218809032977,-2.2700092811579693
21,79.33737502024937,12.626935406408148,12.535068680108994,0.09186672629915371,2.7755575615628914e-16,-1.2135606135120827,0.421732877157854,1.4800563607762935,-0.8199421627941026,0.28494379561103605,-1.3364978145220003,-1.2300214794125774
22,82.91038085408603,13.195596946559432,13.103730220260278,0.09186672629915371,2.7755575615628914e-16,-1.5075456314782483,0.3005435995941117,1.4800563607762935,-1.018573124260982,0.2030622667885943,-1.4384444473747224,-1.039218229267057
23,84.73549298051705,13.486072563177888,13.394205836878735,0.09186672629915371,2.7755575615628914e-16,-1.4792778130032747,0.2698524364949284,1.4800563607762935,-0.9994739742393253,0.1823257841028365,-1.4028736867267362,-1.044797189577681
24,87.42527461312523,13.914164605845269,13.822297879546115,0.09186672629915371,2.7755575615628914e-16,-1.9449665499822002,-0.3059929516051414,1.4800563607762935,-1.314116544157859,-0.20674412117971458,-1.8603953297128077,-1.8520148479107392
25,88.80911120763446,14.134409040292867,14.042542313993714,0.09186672629915371,2.7755575615628914e-16,-1.7760823379344102,0.704311055657902,1.4800563607762935,-1.2000099354343845,0.475867726610417,-1.5055838925437972,-1.4177678852449702
26,92.49189927055849,14.720542964867054,14.6286762385679,0.09186672629915371,2.7755575615628914e-16,-0.996308262081017,0.7405994551712789,1.4800563607762935,-0.6731556233158923,0.5003859817762835,-0.8977684327993152,-0.8249345640130383
27,94.65134404051989,15.06422927434035,14.972362548041197,0.09186672629915371,2.7755575615628914e-16,-2.0105383338319576,-0.6357045564890853,1.4800563607762935,-1.3584201163646394,-0.42951374916267143,-2.2033127723467576,-2.1013951894344576
28,95.87063422824531,15.258285334780295,15.166418608481143,0.09186672629915194,2.0539125955565396e-15,-2.0838432730953316,0.3567219826574388,1.4800563607762935,-1.4079485946078094,0.24101918826276128,-1.9401802172913791,-1.929694867863501
29,98.83119421819369,15.729473091500672,15.637606365201519,0.09186672629915371,2.7755575615628914e-16,-1.4295986314190894,0.3368039999134972,1.4800563607762935,-0.9659082378925496,0.22756160430055689,-1.1322627051907854,-1.0041849532556797
30,101.31785100573138,16.12523681101031,16.033370084711155,0.09186672629915549,1.4988010832439613e-15,-1.420253638083552,0.7300962044103368,1.4800563607762935,-0.95959429365151,0.49328946096849946,-1.0047020230402894,-1.088265922264168
31,103.72553804047834,16.508432104008556,16.416565377709404,0.09186672629915194,2.0539125955565396e-15,-1.9402739156897362,0.16410343398960558,1.4800563607762935,-1.3109459660523044,0.11087647628738469,-1.5924418573707562,-1.5471082259957845
32,105.44662305232609,16.782351291125497,16.690484564826345,0.09186672629915194,2.0539125955565396e-15,-2.351110951558774,0.2989135156777385,1.4800563607762935,-1.5885279870866604,0.2019609006787806,-2.0320440593705777,-1.7386913295271536
33,107.1686111842764,17.05641421427097,16.964547487971817,0.09186672629915194,2.0539125955565396e-15,-1.3314256134145641,0.9084855808322061,1.4800563607762935,-0.8995776435947532,0.6138182334865295,-1.0490833362596845,-0.8597457245256879
34,111.02953554316967,17.67089941089274,17.579032684593585,0.09186672629915549,1.4988010832439613e-15,-2.349113139410646,-1.113382537966618,1.4800563607762935,-1.5871781654169776,-0.7522568514773625,-1.9283757753589859,-1.8236862986761428
